Train,Dev,Test
66,47,73
34,38,32
33,59,55
28,70,57
32,58,49
69,46,47
45,54,41
75,59,80
52,81,55
50,57,24
66,48,35
32,44,46
51,42,40
42,60,34
76,83,27
34,59,71
41,67,40
53,65,56
44,70,59
71,26,66
63,43,69
63,28,46
59,51,35
61,83,57
61,77,35
62,38,45
54,56,48
36,38,42
60,76,60
46,39,58
22,38,75
89,33,53
60,32,61
45,66,48
42,56,55
72,50,54
43,56,62
44,62,54
44,85,29
46,63,28
47,34,59
71,41,28
44,37,45
71,78,61
42,46,58
75,61,36
48,47,72
26,62,58
48,48,61
75,52,27
56,53,73
44,72,44
50,41,84
50,36,73
38,48,45
75,93,38
46,60,68
76,43,29
38,41,52
56,35,67
53,50,27
51,83,43
62,35,44
53,84,67
64,60,66
75,75,73
65,85,56
26,48,49
42,50,60
57,27,71
31,44,103
54,60,81
44,59,62
72,61,61
40,32,56
49,28,48
59,76,34
72,44,71
70,63,43
83,77,47
53,65,79
64,58,83
39,80,79
51,67,29
68,59,78
69,44,69
51,36,79
45,55,52
69,53,54
48,76,56
57,45,101
63,57,35
50,62,44
42,84,48
47,33,56
44,56,59
68,45,85
29,28,49
34,33,46
69,73,54
33,83,89
69,28,91
36,32,86
48,77,94
60,61,67
54,56,48
71,62,27
47,60,40
68,85,26
72,67,85
41,71,29
42,70,86
59,46,78
63,60,50
87,32,37
64,57,42
63,75,44
104,30,47
78,59,43
71,58,47
82,45,87
60,32,78
44,68,52
66,46,47
52,78,33
39,65,45
39,36,34
48,40,52
55,27,36
84,69,84
26,47,41
53,36,72
50,50,82
56,60,89
36,39,63
61,58,78
58,60,38
58,61,58
53,69,46
56,67,81
72,59,48
67,50,47
86,56,43
64,49,61
57,38,68
74,29,45
39,69,53
61,40,44
36,59,79
32,42,38
56,58,33
68,69,89
36,44,57
44,49,70
41,71,63
95,50,65
48,52,73
35,54,51
45,68,39
65,56,41
40,58,70
67,64,26
34,60,85
67,17,42
50,63,78
50,59,50
42,60,28
36,82,64
49,27,81
38,41,50
44,64,48
65,27,41
46,14,55
44,18,84
33,43,55
61,31,70
32,45,36
45,43,72
52,29,50
60,60,46
33,37,60
29,40,95
40,74,45
37,44,93
56,51,49
48,47,64
41,80,40
42,70,46
46,37,45
59,68,53
41,55,50
62,62,63
57,77,58
55,42,62
68,46,56
28,54,51
40,37,39
74,52,67
46,40,70
68,86,49
73,77,52
50,45,48
